차바, 98, 162
차하, 71, 187
사아, 42, 154
아가, 46, 197
나파, 51, 171
카아, 69, 172
카마, 55, 192
파바, 74, 184
파나, 55, 183
마차, 90, 182
파가, 55, 190
카차, 41, 190
타바, 96, 171
가아, 59, 140
자마, 67, 142
카카, 54, 192
파하, 50, 148
하가, 56, 162
가아, 95, 167
가라, 61, 194
바가, 41, 193
타사, 74, 162
하파, 72, 171
타다, 68, 149
타마, 60, 144
라파, 72, 190
나카, 65, 141
라라, 54, 173
타아, 49, 148
바카, 91, 153
바자, 66, 163
가아, 44, 190
파마, 74, 148
하사, 85, 141
타차, 71, 188
타파, 73, 159
타아, 96, 190
바다, 62, 159
바하, 53, 163
아사, 58, 193
자나, 58, 168
가다, 73, 199
자차, 41, 148
마나, 91, 172
바다, 51, 164
파라, 56, 199
바바, 55, 146
자바, 93, 158
라가, 43, 193
가하, 47, 198
다사, 62, 148
차자, 55, 175
사하, 50, 193
가사, 65, 149
하바, 69, 153
하사, 44, 180
바라, 40, 181
자마, 82, 153
다하, 84, 145
자하, 58, 167
라파, 61, 166
마마, 81, 155
마자, 75, 160
자사, 76, 148
카차, 91, 150
타나, 73, 191
다아, 92, 153
파나, 51, 160
파자, 89, 178
하차, 93, 152
나라, 88, 182
마나, 52, 194
다차, 45, 178
마다, 77, 184
마카, 67, 176
가라, 44, 153
가아, 59, 151
바라, 74, 198
아차, 83, 149
바가, 74, 198
바마, 84, 197
마사, 58, 142
파가, 91, 183
다파, 64, 186
가차, 92, 192
사마, 74, 198
가가, 74, 155
라파, 54, 175
자라, 99, 141
자하, 60, 187
사사, 46, 186
자자, 90, 175
마자, 56, 199
아하, 80, 167
타사, 95, 163
타타, 81, 196
파마, 92, 167
나다, 58, 168
파사, 88, 146
나사, 75, 192
다타, 41, 178
아하, 48, 154
가가, 87, 170
마하, 76, 190
타사, 48, 184
카라, 66, 155
바마, 43, 158
자가, 88, 173
바타, 88, 178
마차, 79, 155
하나, 86, 154
라차, 48, 168
마타, 52, 162
사타, 93, 158
라다, 83, 173
바아, 60, 188
나하, 81, 156
마파, 53, 149
나차, 60, 191
라다, 70, 189
라다, 80, 173
아타, 80, 144
바타, 47, 185
자라, 90, 169
차차, 85, 176
나마, 78, 192
아사, 49, 163
타타, 94, 140
하마, 41, 166
바타, 96, 183
하가, 69, 190
차자, 85, 171
가라, 58, 169
사하, 50, 181
바사, 64, 171
카타, 98, 196
나나, 72, 144
가마, 95, 180
나하, 94, 148
나마, 48, 146
파다, 70, 180
사차, 86, 150
가아, 96, 152
사라, 87, 161
마가, 99, 180
나차, 59, 158
나바, 56, 174
자바, 59, 173
사사, 65, 194
타다, 66, 176
라다, 61, 152
카바, 88, 165
다다, 43, 168
라사, 60, 160
카마, 97, 165
라하, 94, 189
하자, 42, 177
바마, 51, 154
가가, 46, 177
다하, 44, 198
카파, 75, 168
마카, 51, 176
라바, 88, 189
라하, 99, 162
바아, 53, 169
바다, 59, 161
자하, 77, 160
가파, 59, 166
마나, 86, 179
차마, 57, 189
다파, 60, 146
파가, 71, 153
자다, 74, 178
파바, 69, 160
나나, 46, 166
나라, 53, 154
아나, 50, 186
카하, 62, 176
사차, 98, 173
나사, 55, 194
다하, 55, 160
가가, 49, 162
차가, 50, 175
타차, 45, 155
나다, 55, 171
아바, 46, 176
마타, 61, 199
차아, 89, 188
아아, 95, 170
다바, 54, 140
하자, 75, 194
가가, 94, 158
차카, 76, 145
아하, 61, 191
다하, 97, 193
아차, 62, 178
마자, 72, 185
자가, 86, 187
차차, 71, 181
나나, 59, 173
마파, 40, 145
타하, 72, 173
사파, 51, 195
가사, 82, 196
차아, 40, 195
차하, 48, 168
나파, 99, 147
아차, 84, 195
카사, 93, 156
라라, 94, 174
타라, 47, 175
라타, 67, 185
다차, 81, 158
라나, 65, 165
아하, 67, 172
차자, 69, 179
카바, 85, 140
아아, 52, 191
하마, 48, 141
바바, 95, 174
카파, 97, 177
가아, 65, 151
타카, 80, 193
사가, 69, 143
파파, 65, 162
사다, 98, 195
차마, 48, 192
차마, 71, 160
아아, 99, 141
아바, 99, 179
아하, 51, 144
타라, 53, 159
차하, 77, 194
바가, 55, 143
타다, 78, 171
차마, 62, 183
차타, 51, 170
차하, 66, 141
차바, 99, 157
타타, 69, 159
가아, 65, 171
카바, 90, 163
마파, 90, 194
가파, 91, 147
가사, 92, 155
아아, 88, 140
자나, 67, 171
하아, 50, 178
다타, 58, 197
마자, 69, 159
다다, 98, 179
가라, 52, 180
하자, 83, 194
아라, 82, 164
카사, 44, 154
파가, 79, 195
타하, 56, 173
파바, 86, 183
차라, 91, 162
자사, 89, 152
다마, 72, 150
하타, 41, 193
하바, 71, 147
파하, 79, 166
하자, 49, 145
라사, 42, 160
라라, 90, 148
가타, 73, 172
파다, 40, 178
카가, 80, 193
나마, 66, 149
하다, 61, 177
자아, 65, 169
차파, 56, 148
파하, 56, 175
하차, 44, 143
가가, 42, 148
나하, 77, 167
자파, 79, 161
하사, 97, 166
마차, 43, 153
카가, 82, 159
아차, 58, 149
파가, 42, 151
라라, 75, 143
아나, 65, 166
하나, 50, 185
타바, 47, 185
사사, 57, 197
하사, 53, 198
바하, 49, 199
가차, 82, 146
라타, 58, 144
라파, 51, 180
타나, 73, 183
카다, 49, 146
마바, 47, 188
카타, 94, 184
라하, 83, 191
라자, 92, 193
자타, 48, 159
가차, 88, 186
하카, 70, 195
가하, 96, 197
가마, 40, 147
라차, 74, 186
사하, 59, 155
마파, 43, 188
마하, 87, 145
다타, 54, 186
사다, 97, 182
차나, 93, 167
차파, 66, 179
마하, 96, 141
라다, 72, 142
사타, 97, 197
카사, 92, 176
아다, 95, 163
차카, 71, 184
차아, 72, 162
다타, 93, 146
차라, 74, 193
차가, 76, 154
카차, 59, 152
나다, 92, 142
나카, 49, 180
아가, 68, 143
타사, 47, 159
바다, 99, 142
카마, 49, 162
카라, 99, 148
바가, 61, 147
라다, 97, 152
타파, 99, 155
카카, 58, 197
바나, 97, 195
마카, 64, 184
카파, 58, 187
차차, 70, 153
바라, 84, 185
차아, 99, 148
파다, 65, 172
